"","titulo","relator","data_de_publicacao","data_de_julgamento","orgao_julgador","ementa","base"
"11","RE 1017816 AgR","DIAS TOFFOLI","12/05/2017","20/04/2017","Segunda Turma","EMENTA     Agravo regimental no recurso extraordinário. Processual Civil. Lei nº 6.729/79. Convenção da marca. Eleição de foro. Legislação infraconstitucional. Ofensa reflexa. Precedentes.     1. Inadmissível, em recurso extraordinário, a análise da legislação infraconstitucional. Incidência da Súmula nº 636/STF.     2. Agravo regimental não provido.     3. Inaplicável o art. 85, § 11, do CPC, pois não houve prévia fixação de honorários advocatícios na causa.","eleicao"
"12","ADPF 738 MC-Ref","RICARDO LEWANDOWSKI","29/10/2020","05/10/2020","Tribunal Pleno","Ementa: REFERENDO NA MEDIDA CAUTELAR EM ARGUIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL. POLÍTICAS PÚBLICAS DE CARÁTER AFIRMATIVO. INCENTIVO A CANDIDATURAS DE PESSOAS NEGRAS PARA CARGOS ELETIVOS. VALORES CONSTITUCIONAIS DA CIDADANIA E DA DIGNIDADE DA PESSOA HUMANA. IGUALDADE EM SENTIDO MATERIAL. ORIENTAÇÕES CONSTANTES DE RESPOSTA DO TRIBUNAL SUPERIOR ELEITORAL À CONSULTA FORMULADA POR PARLAMENTAR FEDERAL. APLICAÇÃO IMEDIATA PARA AS PRÓXIMAS ELEIÇÕES. NÃO INCIDÊNCIA DO PRINCÍPIO DA ANTERIORIDADE OU ANUALIDADE (ART. 16 DA CF/1988). MERO PROCEDIMENTO QUE NÃO ALTERA O PROCESSO ELEITORAL. PRECEDENTES. MEDIDA CAUTELAR REFERENDADA.    I - Políticas públicas tendentes a incentivar a apresentação de candidaturas de pessoas negras aos cargos eletivos nas disputas eleitorais que se travam em nosso País, já a partir deste ano, prestam homenagem aos valores constitucionais da cidadania e da dignidade humana, bem como à exortação, abrigada no preâmbulo do texto magno, de construirmos, todos, uma sociedade fraterna, pluralista e sem preconceitos, fundada na harmonia social, livre de quaisquer formas de discriminação.    II - O princípio da igualdade (art. 5º, caput, da CF), considerado em sua dimensão material, pressupõe a adoção, pelo Estado, seja de politicas universalistas, que abrangem um número indeterminado de indivíduos, mediante ações de natureza estrutural, seja de políticas afirmativas, as quais atingem grupos sociais determinados, de maneira pontual, atribuindo-lhes certas vantagens, por um tempo definido, com vistas a permitir que superem desigualdades decorrentes de situações históricas particulares (ADPF 186/DF, de minha relatoria). Precedentes.    III – O entendimento do Supremo Tribunal Federal é no sentido de que só ocorre ofensa ao princípio da anterioridade nas hipóteses de: (i) rompimento da igualdade de participação dos partidos políticos ou candidatos no processo eleitoral; (ii) deformação que afete a normalidade das eleições; (iii) introdução de elemento perturbador do pleito; ou (iv) mudança motivada por propósito casuístico (ADI 3.741/DF, de minha relatoria). Precedentes.    IV - No caso dos autos, é possível constatar que o TSE não promoveu qualquer inovação nas normas relativas ao processo eleitoral, concebido em sua acepção estrita, porquanto não modificou a disciplina das convenções partidárias, nem os coeficientes eleitorais e nem tampouco a extensão do sufrágio universal. Apenas introduziu um aperfeiçoamento nas regras relativas à propaganda, ao financiamento das campanhas e à prestação de contas, todas com caráter eminentemente procedimental, com o elevado propósito de ampliar a participação de cidadãos negros no embate democrático pela conquista de cargos políticos.    V – Medida cautelar referendada.","eleicao"
"13","ADI 4298","GILMAR MENDES","22/09/2020","31/08/2020","Tribunal Pleno","Ação Direta de Inconstitucionalidade parcialmente conhecida. Lei 2.154/2009, do Estado do Tocantins. Eleição de Governador e Vice-Governador. Hipótese de cargos vagos nos dois últimos anos de mandato. Eleição indireta pela Assembleia Legislativa. Reprodução do disposto no art. 81, § 1º, da CF. Não obrigatoriedade. Exercício da autonomia do Estado-membro. Ação improcedente.","eleicao"
"14","ADI 490","OCTAVIO GALLOTTI","20/06/1997","03/02/1997","Tribunal Pleno","EMENTA: - Inconstitucionalidade, perante a CartaFederal, do art. 199 da Constituição da Amazonas, na parte em quedetermina a realização de eleições para os cargos de direção dosestabelecimentos de ensino público.        Não se confunde a qualificação de democrática dagestão do ensino público (art. 206, VI, da Constituição) commodalidade de investidura, que há de coadunar-se com o princípio dalivre escolha dos cargos em comissão do Executivo pelo Chefe dessePoder (artigos 37, II, in fine e 84, II e XXV, ambos da Constituiçãoda República).","eleicao"
"15","ADI 5081","ROBERTO BARROSO","19/08/2015","27/05/2015","Tribunal Pleno","Ementa: DIREITO CONSTITUCIONAL E ELEITORAL. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. RESOLUÇÃO Nº 22.610/2007 DO TSE. INAPLICABILIDADE DA REGRA DE PERDA DO MANDATO POR INFIDELIDADE PARTIDÁRIA AO SISTEMA ELEITORAL MAJORITÁRIO.     1. Cabimento da ação. Nas ADIs 3.999/DF e 4.086/DF, discutiu-se o alcance do poder regulamentar da Justiça Eleitoral e sua competência para dispor acerca da perda de mandatos eletivos. O ponto central discutido na presente ação é totalmente diverso: saber se é legítima a extensão da regra da fidelidade partidária aos candidatos eleitos pelo sistema majoritário.    2. As decisões nos Mandados de Segurança 26.602, 26.603 e 26.604 tiveram como pano de fundo o sistema proporcional, que é adotado para a eleição de deputados federais, estaduais e vereadores. As características do sistema proporcional, com sua ênfase nos votos obtidos pelos partidos, tornam a fidelidade partidária importante para garantir que as opções políticas feitas pelo eleitor no momento da eleição sejam minimamente preservadas. Daí a legitimidade de se decretar a perda do mandato do candidato que abandona a legenda pela qual se elegeu.    3. O sistema majoritário, adotado para a eleição de presidente, governador, prefeito e senador, tem lógica e dinâmica diversas da do sistema proporcional. As características do sistema majoritário, com sua ênfase na figura do candidato, fazem com que a perda do mandato, no caso de mudança de partido, frustre a vontade do eleitor e vulnere a soberania popular (CF, art. 1º, parágrafo único; e art. 14, caput).     4. Procedência do pedido formulado em ação direta de inconstitucionalidade.","eleicao"
"16","RE 551875","CEZAR PELUSO","08/05/2014","05/02/2014","Tribunal Pleno","CONDUTA VEDADA – REPRESENTAÇÃO – ARTIGO 37 DA LEI Nº 9.504/97 – PROPAGANDA – RESTAURAÇÃO DE BEM. A representação prevista no artigo 37 da Lei nº 9.504/97, presente conduta vedada, há de ser formalizada antes de ocorrida a eleição.","eleicao"
"17","RE 631102","JOAQUIM BARBOSA","20/06/2011","27/10/2010","Tribunal Pleno","EMENTA: RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL RECONHECIDA. ART. 14, § 9º DA CONSTITUIÇÃO FEDERAL. MORALIDADE, PROBIDADE ADMINISTRATIVA E VIDA PREGRESSA. INELEGIBILIDADE. REGISTRO DE CANDIDATURA. LEI COMPLEMENTAR 135/2010. FICHA LIMPA. ALÍNEA K DO § 1º DO ART. 1º DA LEI COMPLEMENTAR 64/1990. RENÚNCIA AO MANDATO. EMPATE. MANUTENÇÃO DO ACÓRDÃO DO TRIBUNAL SUPERIOR ELEITORAL. RECURSO DESPROVIDO. O recurso extraordinário trata da aplicação, às eleições de 2010, da Lei Complementar 135/2010, que alterou a Lei Complementar 64/1990 e nela incluiu novas causas de inelegibilidade. Alega-se ofensa ao princípio da anterioridade ou da anualidade eleitoral, disposto no art. 16 da Constituição Federal. O recurso extraordinário objetiva, ainda, a declaração de inconstitucionalidade da alínea k do § 1º do art. 1º da LC 64/1990, incluída pela LC 135/2010, para que seja deferido o registro de candidatura do recorrente. Alega-se ofensa ao princípio da irretroatividade das leis, da segurança jurídica e da presunção de inocência, bem como contrariedade ao art. 14, § 9º da Constituição, em razão do alegado desrespeito aos pressupostos que autorizariam a criação de novas hipóteses de inelegibilidade. Verificado o empate no julgamento do recurso, a Corte decidiu aplicar, por analogia, o art. 205, parágrafo único, inciso II, do Regimento Interno do Supremo Tribunal Federal, para manter a decisão impugnada, proferida pelo Tribunal Superior Eleitoral. Recurso desprovido. Decisão por maioria.","eleicao"
"18","ADI 4298 MC","CEZAR PELUSO","27/11/2009","07/10/2009","Tribunal Pleno","EMENTAS: 1. AÇÃO DIRETA DE INCONSTITUCIONALIDADE - ADI. Petição    inicial. Emenda antes do julgamento do pedido de liminar.    Admissibilidade. Revogação da lei originalmente impugnada. Lei    nova que, na pendência do processo, reproduziria normas    inconstitucionais da lei revogada. Aproveitamento das causas de    pedir. Economia processual. Em ação direta de    inconstitucionalidade, admite-se emenda da petição inicial antes    da apreciação do requerimento de liminar, quando tenha por objeto    lei revogadora que reproduz normas argüidas de inconstitucionais    da lei revogada na pendência do processo.2.    	INCONSTITUCIONALIDADE. Ação direta. Lei nº 2.154/2009, do Estado    do Tocantins. Eleição de Governador e Vice-Governador. Hipótese    de cargos vagos nos dois últimos anos de mandato. Eleição    indireta pela Assembléia Legislativa. Votação nominal e aberta.    Constitucionalidade aparente reconhecida. Reprodução do disposto    no art. 81, § 1º, da CF. Não obrigatoriedade. Exercício da    autonomia do Estado-membro. Liminar indeferida. Precedente. Em    sede tutela antecipada em ação direta de inconstitucionalidade,    aparenta constitucionalidade a lei estadual que prevê eleição    pela Assembléia Legislativa, por votação nominal e aberta, para    os cargos de Governador e Vice-Governador, vagos nos dois últimos   anos do mandato.","eleicao"
"19","Pet 7841 AgR","EDSON FACHIN","22/09/2020","18/08/2020","Tribunal Pleno","Ementa: ELEITORAL. APLICAÇÃO DO ART. 26-C da LEI COMPLEMENTAR 64/1990. PEDIDO DE EFEITO SUSPENSIVO AO RECURSO EXTRAORDINÁRIO PARA AFASTAR A INELEGIBILIDADE DO RECORRENTE. REALIZAÇÃO DAS ELEIÇÕES 2018. PERDA DE OBJETO DO PEDIDO. MÉRITO DA QUESTÃO DE FUNDO TODAVIA NÃO EXAMINADO PELO STF. RECURSO QUE SE JULGA PREJUDICADO.    I – A realização das eleições gerais de 2018 ocasionou a perda do objeto do recurso.    II - Pedido que discutia aplicação do art. 26-C da Lei Complementar 64/1990 ao recorrente.    III- Matéria que, embora não examinada pelo STF neste feito, poderá, eventualmente, ser reapreciada nas vias processuais apropriadas.     IV – Recurso prejudicado.","eleicao"
"20","MI 6938 AgR","ROSA WEBER","17/09/2020","24/08/2020","Tribunal Pleno","EMENTA    AGRAVO INTERNO EM MANDADO DE INJUNÇÃO. CANDIDATURA AVULSA (SEM FILIAÇÃO PARTIDÁRIA) EM ELEIÇÃO MAJORITÁRIA. AUSÊNCIA DE NORMA DE ESTATURA CONSTITUCIONAL IMPOSITIVA DO DEVER DE LEGISLAR, NOS MOLDES PRETENDIDOS PELO AGRAVANTE, QUE DETERMINA O INSUCESSO DA IMPETRAÇÃO.    1. Não há falar em lacuna técnica suscetível de colmatação em mandado de injunção, à míngua de norma de estatura constitucional impositiva do dever de legislar sobre o registro de candidatura avulsa (sem filiação partidária) em eleições majoritárias. Precedentes desta Suprema Corte.    2. A controvérsia sobre a admissibilidade de candidatura avulsa em eleição majoritária, à luz do cotejo do art. 23 do Pacto de São José da Costa Rica com o previsto no art. 14, § 3º, da Constituição da República e na Lei nº 9.096/1995, é objeto de exame por esta Casa na via própria, considerado o decidido em questão de ordem no ARE nº 1.054.490, reautuado como RE nº 1.238.853, paradigma do tema nº 974 da repercussão geral (“possibilidade de candidaturas avulsas para pleitos majoritários”).    3. Agravo interno conhecido e não provido.","eleicao"
"21","ADI 7021 MC-Ref","ROBERTO BARROSO","17/05/2022","09/02/2022","Tribunal Pleno","Ementa: Direito constitucional e eleitoral. Ação Direta de Inconstitucionalidade. Referendo de Medida Cautelar. Federação de Partidos Políticos. Lei nº 14.208/2021. Cautelar parcialmente deferida, quanto ao prazo de registro, para preservação da isonomia.    1.  A lei questionada – Lei nº 14.208/2021 – alterou a redação da Lei nº 9.096/1995, criando o instituto da federação partidária. Essa nova figura permite a união entre partidos políticos, inclusive para concorrerem em eleições proporcionais (para deputado federal, estadual e vereador). Alegação de vícios de inconstitucionalidade formal e de inconstitucionalidade material.    I. Inexistência de inconstitucionalidade formal    2.  O projeto de lei foi iniciado e aprovado no Senado Federal, sob a antiga redação do art. 17, § 1º, da Constituição, que admitia coligação eleitoral inclusive no sistema proporcional. Na sequência, foi remetido à Câmara dos Deputados e aprovado, sob a vigência da nova redação do referido dispositivo, que passou a vedar coligações em eleições proporcionais (EC 97/2017). Daí a alegação de que deveria ter retornado à Casa em que iniciada a tramitação. O argumento, porém, não procede.    3.  Nada na Constituição sugere que a superveniência da emenda constitucional referida exigiria o retorno ao Senado Federal do projeto já aprovado pelas duas Casas. O reexame pela Casa iniciadora somente se dá no caso em que o projeto tenha seu conteúdo alterado na Casa revisora (CF, art. 65, parágrafo único), o que não ocorreu. Na Câmara dos Deputados, houve apenas emendas de redação. Cabe observar ainda que: (i) federação partidária e coligação constituem institutos diversos; e (ii) o Congresso Nacional, em sessão conjunta, reunindo o Senado e a Câmara, por maioria absoluta, rejeitou o veto que havia sido aposto pela Presidente da República ao projeto aprovado. Portanto, há inequívoca manifestação de vontade de ambas as Casas Legislativas em relação à matéria.    II. Inexistência de inconstitucionalidade material    4.  A federação partidária possui importantes pontos de distinção em relação às coligações, que em boa hora foram proibidas. As coligações consistiam na reunião puramente circunstancial de partidos, para fins eleitorais, sem qualquer compromisso de alinhamento programático. Tal fato permitia, por exemplo, que o voto do eleitor, dado a um partido que defendia a estatização de empresas, ajudasse a eleger o candidato de um partido ultraliberal. Ou vice-versa. A fraude à vontade do eleitor era evidente.    5.  Já a federação partidária, embora assegure a identidade e a autonomia dos partidos que a integram (art. 11-A, § 2º), promove entre eles: (i) uma união estável, ainda que transitória, com durabilidade de no mínimo 4 (quatro) anos (art. 11-A, § 3º, II); (ii) requer afinidade programática, que permita a formulação de estatuto e de um programa comuns à federação (art. 11-A, § 6º, II), e (iii) vincula o funcionamento parlamentar posterior às eleições (art. 11-A, § 1º). Em tais condições, as federações não implicam transferência ilegítima de voto entre partidos com visões ideológicas diversas e, portanto, não geram os impactos negativos sobre o sistema representativo que resultavam das antigas coligações proporcionais.    6.  É possível questionar a conveniência e oportunidade da inovação, que pode retardar a necessária redução do número de partidos políticos no país. Mas essa avaliação, de natureza política, não cabe ao Poder Judiciário. Em juízo cautelar e em exame abstrato da matéria, não se vislumbra inconstitucionalidade. Naturalmente, se no mundo real se detectarem distorções violadoras da Constituição, tal avaliação preliminar poderá ser revisitada. Para isso, no entanto, é imperativo aguardar o processo eleitoral e seus desdobramentos. Por ora, portanto, não é o caso de impedir a experimentação da fórmula deliberada pelo Congresso Nacional.    III. Quebra da isonomia entre a federação e os demais partidos    7.  Existe, porém, um problema de quebra de isonomia no tratamento diferenciado dado à federação partidária, no que diz respeito ao seu registro perante o Tribunal Superior Eleitoral (TSE). Partidos políticos têm de fazê-lo até 6 (seis) meses antes das eleições (Lei nº 9.504/1997, art. 4º), sendo que, em relação à federação, a lei ora impugnada estende esse prazo até a data final do período de realização das convenções partidárias. Trata-se de uma desequiparação que não se justifica e que pode dar à federação indevida vantagem competitiva.     IV. Dispositivo    8.  Voto pelo referendo da cautelar, parcialmente deferida, apenas quanto ao prazo para constituição e registro da federação partidária perante o TSE, tendo como consequência: (i) suspender o inciso III do § 3º do art. 11-A da Lei nº 9.096/1995 e o parágrafo único do art. 6º-A da Lei nº 9.504/1997, com a redação dada pela Lei nº 14.208/2021; (ii) conferir interpretação conforme à Constituição ao caput do art. 11-A da Lei nº 9.096/1995, de modo a exigir que, para participar das eleições, as federações estejam constituídas como pessoa jurídica e obtenham o registro de seu estatuto perante o Tribunal Superior Eleitoral no mesmo prazo aplicável aos partidos políticos.     9.  Tese: “É constitucional a Lei nº 14.208/2021, que institui as federações partidárias, salvo quanto ao prazo para seu registro, que deverá ser o mesmo aplicável aos partidos políticos. Excepcionalmente, nas eleições de 2022, o prazo para constituição de federações partidárias fica estendido até 31 de maio do mesmo ano”.","eleicao"
